,DDATE,price_per_mile,total_fluc_50,total_fluc_70,total_fluc_120,avg_price,pct_change,trend
0,2018-01-01,0.2989006844694501,0.0,0.0,0.0,0.2989006844694501,0.0,Decrease
1,2018-01-02,0.3505328957360415,0.0,0.0,0.0,0.3247167901027458,-0.07950345168516565,Decrease
2,2018-01-03,0.6185173015602328,0.0,0.0,0.0,0.4226502939219081,-0.46342569839668546,Decrease
3,2018-01-04,0.4293654911452948,-0.6810225951124779,-0.6810225951124779,-0.6810225951124779,0.4243290932277548,-0.011869084627757948,Decrease
4,2018-01-05,0.5452729971065411,-1.0662460460006828,-1.0662460460006828,-1.0662460460006828,0.44851787400351206,-0.21572188916215054,Decrease
5,2018-01-06,0.5086205748406859,-0.6188610936225521,-0.6188610936225521,-0.6188610936225521,0.45853499080970767,-0.1092295790612058,Decrease
6,2018-01-07,0.5630915606761151,-1.4044136138185166,-1.4044136138185166,-1.4044136138185166,0.4734716436477659,-0.1892825435920318,Decrease
7,2018-01-08,0.4515483773379155,-1.504617646171925,-1.504617646171925,-1.504617646171925,0.4707312353590346,0.040751190021388835,Increase
8,2018-01-09,0.38371511081881565,-1.3102082338634191,-1.3102082338634191,-1.3102082338634191,0.4813330386527052,0.20280745345703047,Increase
9,2018-01-10,0.34242239205732405,-0.946191246279348,-0.946191246279348,-0.946191246279348,0.48031922569286556,0.28709413710563814,Increase
10,2018-01-11,0.4198676945004958,-2.7522313585426916,-2.7522313585426916,-2.7522313585426916,0.45548802481039846,0.07820256158156949,Increase
11,2018-01-12,0.48516777882197387,-3.673705710356253,-3.673705710356253,-3.673705710356253,0.4624633107699833,-0.04909463631652964,Decrease
12,2018-01-13,0.4958599647476135,-3.9524793674056347,-3.9524793674056347,-3.9524793674056347,0.45628668172511744,-0.08672898992554064,Decrease
13,2018-01-14,0.42213436048621994,-2.676229182023854,-2.676229182023854,-2.676229182023854,0.44547590493080913,0.05239687306592839,Increase
14,2018-01-15,0.4290228044416292,-3.5791164011148044,-3.5791164011148044,-3.5791164011148044,0.4287173104014984,-0.0007125768722627653,Decrease
15,2018-01-16,0.3383952212609283,-4.4454110807478795,-4.4454110807478795,-4.4454110807478795,0.41457316589187504,0.18375030247571483,Increase
16,2018-01-17,0.2940304136945423,-3.479887656448185,-3.479887656448185,-3.479887656448185,0.4033625787513409,0.27105182983322335,Increase
17,2018-01-18,0.33254771539790884,-4.1274991789378275,-4.1274991789378275,-4.1274991789378275,0.402128244168914,0.1730306930188616,Increase
18,2018-01-19,0.32798063687016343,-5.124733556179142,-5.124733556179142,-5.124733556179142,0.3906423619651225,0.1604068866974382,Increase
19,2018-01-20,0.32313991102999406,-5.5761255934628755,-5.5761255934628755,-5.5761255934628755,0.3703888784911249,0.1275658374344601,Increase
20,2018-01-21,0.3641136614841547,-5.041008077536745,-5.041008077536745,-5.041008077536745,0.3539205905831926,-0.02880044612314277,Decrease
21,2018-01-22,0.32426075752101974,-6.259029950330741,-6.259029950330741,-6.259029950330741,0.3416863902125426,0.05099890774310157,Increase
22,2018-01-23,0.304012501635912,-6.981463343876017,-6.981463343876017,-6.981463343876017,0.326060102361828,0.067618210772227,Increase
23,2018-01-24,0.30028407711567684,-7.369858249295984,-7.369858249295984,-7.369858249295984,0.3212962093436715,0.06539800849476941,Increase
24,2018-01-25,0.3287783733508066,-8.591305177268415,-8.591305177268415,-8.591305177268415,0.3256397043007045,-0.009638471625695238,Decrease
25,2018-01-26,0.3683471565738988,-8.158623660834035,-8.158623660834035,-8.158623660834035,0.3301146344477032,-0.1158158958634486,Decrease
26,2018-01-27,0.3735784234825893,-8.548741469772535,-8.548741469772535,-8.548741469772535,0.3358143577742565,-0.1124551849379794,Decrease
27,2018-01-28,0.36876252687142996,-8.096488272171065,-8.096488272171065,-8.096488272171065,0.34151718475443593,-0.07977736797222806,Decrease
28,2018-01-29,0.2804318722053903,-7.58983323643525,-7.58983323643525,-7.58983323643525,0.33105696109459043,0.15291957227486122,Increase
29,2018-01-30,0.2631729596025429,-7.9536393444595115,-7.9536393444595115,-7.9536393444595115,0.3234209863547808,0.18628360339655897,Increase
30,2018-01-31,0.2529945458160444,-7.769677394902719,-7.769677394902719,-7.769677394902719,0.3170437418772974,0.20202006096067768,Increase
31,2018-02-01,0.2766993882022607,-8.098442325115972,-8.098442325115972,-8.098442325115972,0.3140956557631204,0.11906012348372813,Increase
32,2018-02-02,0.30129218959770826,-9.320471452916085,-9.320471452916085,-9.320471452916085,0.3106598827939831,0.030154177333824302,Increase
33,2018-02-03,0.3124399965082829,-6.833412749437433,-6.833412749437433,-6.833412749437433,0.3036714877857811,-0.028874981930102555,Decrease
34,2018-02-04,0.3524259582577315,-5.455274878743851,-5.455274878743851,-5.455274878743851,0.3010274296326739,-0.17074367172378996,Decrease
35,2018-02-05,0.3639892944830646,-6.49699217218716,-6.49699217218716,-6.49699217218716,0.30043077558412823,-0.21155794966530778,Decrease
36,2018-02-06,0.3112668709515224,-5.499908548564787,-5.499908548564787,-5.499908548564787,0.3042851504273947,-0.022944663958531276,Decrease
37,2018-02-07,0.28449839956566453,-8.169501583376785,-8.169501583376785,-8.169501583376785,0.3069508304227849,0.07314666921146651,Increase
38,2018-02-08,0.31470278610557256,-5.562948905692366,-5.562948905692366,-5.562948905692366,0.31466436045897594,-0.00012211629731619347,Decrease
39,2018-02-09,0.3450695533028879,-6.063512585730835,-6.063512585730835,-6.063512585730835,0.32321063109655435,-0.06763057926706482,Decrease
