DDATE,price_per_mile,total_fluc_50,total_fluc_70,total_fluc_120,avg_price,pct_change,trend
2018-02-01,0.10412681527938569,0.0,0.0,0.0,0.10412681527938569,0.0,Decrease
2018-02-02,0.07757464554238644,0.0,0.0,0.0,0.09085073041088607,0.1461307444470346,Decrease
2018-02-03,0.1744785805371787,0.0,0.0,0.0,0.11872668045298362,-0.46958189912732484,Decrease
2018-02-04,0.22913451892421688,-0.014098500383908502,-0.014098500383908502,-0.014098500383908502,0.14632864007079194,-0.5658897589245995,Decrease
2018-02-05,0.1876481840731666,0.34546208678832424,0.34546208678832424,0.34546208678832424,0.1545925488712669,-0.21382424601476738,Decrease
2018-02-06,0.21668749279890998,-0.09068914703998435,-0.09068914703998435,-0.09068914703998435,0.16494170619254073,-0.313721664464687,Decrease
2018-02-07,0.17412745970758464,-1.706027305574601,-1.706027305574601,-1.706027305574601,0.16625395669468987,-0.0473582895073814,Decrease
2018-02-08,0.20502234387058904,0.1753577544318463,0.1753577544318463,0.1753577544318463,0.17110000509167728,-0.19826030256828922,Decrease
2018-02-09,0.23348527953516596,-0.05819337446546763,-0.05819337446546763,-0.05819337446546763,0.18726981312364982,-0.24678545698660553,Decrease
2018-02-10,0.22845189869328011,0.1371579369667582,0.1371579369667582,0.1371579369667582,0.20612946976751154,-0.10829324380907547,Decrease
2018-02-11,0.21661049511627703,-0.07395808128386772,-0.07395808128386772,-0.07395808128386772,0.2113959590898988,-0.024667150918247577,Decrease
2018-02-12,0.18950469121489252,0.002137641808497376,0.002137641808497376,0.002137641808497376,0.20644223062623326,0.08204493508891797,Decrease
2018-02-13,0.21421873743431594,-0.2811996441543629,-0.2811996441543629,-0.2811996441543629,0.2097635497963769,-0.021239093456722126,Decrease
2018-02-14,0.20656243860802717,-0.6484440816877856,-0.6484440816877856,-0.6484440816877856,0.20849791802251652,0.009282967584742641,Decrease
2018-02-15,0.3024264663602341,-0.5094426085883332,-0.5094426085883332,-0.5094426085883332,0.2245352938540977,-0.3468994614127338,Decrease
2018-02-16,0.23328124659778163,-0.36250178087909657,-0.36250178087909657,-0.36250178087909657,0.2280676566949968,-0.022859838954530767,Decrease
2018-02-17,0.2096394734626689,0.5348953230947988,0.5348953230947988,0.5348953230947988,0.22508693093593468,0.06862885112446851,Decrease
2018-02-18,0.22468365054385797,0.11219190318725131,0.11219190318725131,0.11219190318725131,0.2246158999172569,-0.0003016288100087286,Decrease
2018-02-19,0.21171592131974995,0.5002944031413491,0.5002944031413491,0.5002944031413491,0.22400407819269105,0.0548568444471385,Decrease
2018-02-20,0.14146205061433767,-0.41335873097403225,-0.41335873097403225,-0.41335873097403225,0.21799874811762165,0.3510877845132783,Increase
2018-02-21,0.19364644654978339,-0.5637153768087856,-0.5637153768087856,-0.5637153768087856,0.21542721175705506,0.10110498590045636,Decrease
2018-02-22,0.22584571551255397,-1.3700969656027948,-1.1500808524897637,-1.1500808524897637,0.21783762137012094,-0.03676175902061809,Decrease
2018-02-23,0.2050538673923075,2.7267134402743363,3.882821630457475,3.882821630457475,0.2056660464991301,0.0029765686521580808,Decrease
2018-02-24,0.27427968289051013,-1.292630344221225,-0.7715706514357301,-0.7715706514357301,0.21079085103572118,-0.3011934889148959,Decrease
2018-02-25,0.2539255506916229,-0.8586474667187449,-1.3482563494951492,-1.3482563494951492,0.21632661068934042,-0.17380635642776798,Decrease
2018-02-26,0.23264215869202062,-0.5418908271105872,-2.8568904780189412,-2.8568904780189412,0.21732142420786077,-0.07049804012652741,Decrease
2018-02-27,0.2223667719223315,0.27228462951256677,-0.653657079665608,-0.653657079665608,0.21865278053318346,-0.0169857953788262,Decrease
2018-02-28,0.213079934633731,-0.8238796066121921,-1.1030956393364042,-1.1030956393364042,0.22760501603560765,0.06381705313385652,Decrease
2018-03-01,0.2344234154962133,-0.5690598562589569,-1.0848607575380373,-1.0848607575380373,0.23270213715391136,-0.007396916776761101,Decrease
2018-03-02,0.23318976647905834,-1.7010540247044288,-3.17764559681422,-3.17764559681422,0.23362014352472443,0.0018422086348069725,Decrease
2018-03-03,0.24129813374373088,-0.9150906259293925,-2.7478155617983675,-2.7478155617983675,0.23815067681865232,-0.013216241780724801,Decrease
2018-03-04,0.2551046201756524,-1.6858625155671643,-5.575776558449439,-5.575776558449439,0.23575379397929513,-0.08208065656010914,Decrease
2018-03-05,0.21212305476126728,-0.9687265371651232,0.0341166427248033,0.0341166427248033,0.23052848198800066,0.07984014412453995,Decrease
2018-03-06,0.20887337855399637,0.26149349480798567,0.5634878606163166,0.5634878606163166,0.22755738447074764,0.08210678796562226,Decrease
2018-03-07,0.2114064796354449,-0.5609770646222632,-2.557007385342028,-2.557007385342028,0.22618734793488682,0.06534790046566587,Decrease
2018-03-08,0.23530887983451595,-1.4850776884971761,-3.7195141744684186,-3.7195141744684186,0.22896596608498496,-0.027702430444080533,Decrease
2018-03-09,0.26803986481099096,-1.794564968112614,-1.4148233430845536,-1.4148233430845536,0.23316802224933214,-0.14955671118730648,Decrease
2018-03-10,0.29471379813924625,-3.1300832777547143,-1.457256485073753,-1.457256485073753,0.24085852620685563,-0.22359711645058516,Decrease
2018-03-11,0.2849122351518853,-2.4374292796008827,-2.7769098401160575,-2.7769098401160575,0.24631028888287493,-0.15672080303298375,Decrease
2018-03-12,0.22914289894960277,0.9796429205009671,-0.4777676990481582,-0.4777676990481582,0.24306507372961872,0.05727756179196165,Decrease
2018-03-13,0.24485861503606388,1.6924203537349924,-3.98245143117874,-3.98245143117874,0.2471570187639683,0.00929936661074303,Decrease
